Date,Production
4/1/1993,2080
5/1/1993,3199
6/1/1993,1966
7/1/1993,4503
8/1/1993,4062
9/1/1993,3493
10/1/1993,3769
11/1/1993,3140
12/1/1993,3140
1/1/1994,2746
2/1/1994,2366
3/1/1994,2574
4/1/1994,2515
5/1/1994,2173
6/1/1994,2795
7/1/1994,2684
8/1/1994,2571
9/1/1994,1381
10/1/1994,1785
11/1/1994,2753
12/1/1994,2398
1/1/1995,2333
2/1/1995,2526
3/1/1995,2659
4/1/1995,2350
5/1/1995,2356
6/1/1995,1869
7/1/1995,2023
8/1/1995,2022
9/1/1995,2256
10/1/1995,2283
11/1/1995,1863
12/1/1995,2408
1/1/1996,2059
2/1/1996,1663
3/1/1996,1897
4/1/1996,1780
5/1/1996,1504
6/1/1996,1303
7/1/1996,1452
8/1/1996,2125
9/1/1996,2345
10/1/1996,2436
11/1/1996,2222
12/1/1996,2069
1/1/1997,1326
2/1/1997,1500
3/1/1997,2164
4/1/1997,1915
5/1/1997,2110
6/1/1997,1837
7/1/1997,1618
8/1/1997,1919
9/1/1997,1775
10/1/1997,1584
11/1/1997,1831
12/1/1997,1904
1/1/1998,1919
2/1/1998,1772
3/1/1998,1965
4/1/1998,1405
5/1/1998,1395
6/1/1998,1524
7/1/1998,1617
8/1/1998,1620
9/1/1998,1406
10/1/1998,1865
11/1/1998,1405
12/1/1998,1644
1/1/1999,1987
2/1/1999,1441
3/1/1999,1778
4/1/1999,1649
5/1/1999,1835
6/1/1999,1581
7/1/1999,1798
8/1/1999,1010
9/1/1999,1726
10/1/1999,1922
11/1/1999,1845
12/1/1999,1665
1/1/2000,1670
2/1/2000,1535
3/1/2000,1773
4/1/2000,1909
5/1/2000,2060
6/1/2000,1946
7/1/2000,1882
8/1/2000,1916
9/1/2000,1755
10/1/2000,1867
11/1/2000,1787
12/1/2000,1902
1/1/2001,1701
2/1/2001,1528
3/1/2001,1612
4/1/2001,1806
5/1/2001,1881
6/1/2001,1043
7/1/2001,1185
8/1/2001,1227
9/1/2001,969.5
10/1/2001,712
11/1/2001,1593
12/1/2001,1627
1/1/2002,2032
2/1/2002,1256
3/1/2002,1660
4/1/2002,1404
5/1/2002,1795
6/1/2002,1686
7/1/2002,882
8/1/2002,1173
9/1/2002,1715
10/1/2002,1784
11/1/2002,1566
12/1/2002,909
1/1/2003,924
2/1/2003,853
3/1/2003,1078
4/1/2003,1932
5/1/2003,1522
6/1/2003,1880
7/1/2003,1582
8/1/2003,2092
9/1/2003,2047
10/1/2003,1941
11/1/2003,1423
12/1/2003,1488
1/1/2004,1722
2/1/2004,1831
3/1/2004,1873
4/1/2004,1828
5/1/2004,1793
6/1/2004,1781
7/1/2004,1612
8/1/2004,1774
9/1/2004,1815
10/1/2004,1553
11/1/2004,1719
12/1/2004,1716
1/1/2005,1688
2/1/2005,1613
3/1/2005,1696
4/1/2005,1434
5/1/2005,1859
6/1/2005,1659
7/1/2005,1762
8/1/2005,1821
9/1/2005,1448
10/1/2005,1517
11/1/2005,1726
12/1/2005,1706
1/1/2006,1381
2/1/2006,1548
3/1/2006,1787
4/1/2006,1709
5/1/2006,1747
6/1/2006,1674
7/1/2006,1768
8/1/2006,1770
9/1/2006,1543
10/1/2006,1635
11/1/2006,1812
12/1/2006,1902
1/1/2007,1475
2/1/2007,1472
3/1/2007,1390
4/1/2007,1467
5/1/2007,1652
6/1/2007,1540
7/1/2007,1730
8/1/2007,1652
9/1/2007,1446
10/1/2007,1792
