month,well 1,well 2,well 3,well 4,well 5,well 6,well 7,well 8,well 9,well 10,well 11,well 12,well 13,well 14
1,2080,235,517,279,683,818,460,676,3643,1751,665,513,2190,1743
2,3199,264,496,252,471,615,416,1751,3179,4381,681,3090,9851,3176
3,1966,247,473,239,431,736,479,2289,3887,5788,486,2078,8226,2948
4,4503,188,470,272,413,681,216,2075,3351,4081,456,1411,14513,3050
5,4062,268,495,281,345,681,594,1841,3258,2529,341,1516,15575,1844
6,3493,239,501,207,359,603,377,1732,3380,2753,329,3163,17281,1438
7,3769,249,547,258,339,617,351,1412,3305,1410,229,3982,11264,1641
8,3140,233,429,235,286,617,439,1159,2935,2117,460,3471,6844,2209
9,3140,230,467,233,295,575,323,1166,3229,6763,270,2663,7434,2053
10,2746,242,521,256,619,429,378,1070,3716,8836,290,2297,9256,1855
11,2366,221,461,238,257,539,361,1209,3217,9300,289,2054,6253,2191
12,2574,198,433,241,263,539,357,724,3833,10352,327,1930,5760,2347
13,2515,207,404,217,232,530,391,1765,3076,12898,308,2003,6109,2010
14,2173,227,529,254,567,501,332,1655,3157,11921,286,1481,5538,1739
15,2795,139,467,223,674,546,335,3307,3526,8411,415,1723,4935,1642
16,2684,221,424,192,646,445,247,2708,3169,6712,600,1386,4655,1298
17,2571,146,427,210,585,485,423,2782,3216,5903,501,1368,4781,1218
18,1381,213,412,232,762,430,335,2380,2896,6040,539,1745,4008,1037
19,1785,229,441,207,1988,429,340,1096,3183,5513,514,1171,3321,1601
20,2753,213,399,215,633,346,261,930,2910,4954,534,1189,4006,1175
21,2398,171,410,222,501,431,286,1076,2868,5579,475,1304,4023,1278
22,2333,281,383,236,439,430,368,2857,3107,11937,431,1004,3773,1051
23,2526,228,442,217,612,416,353,1629,3035,16247,242,1120,3560,684
24,2659,162,366,143,492,465,295,1255,2857,19707,511,1277,2905,700
25,2350,185,244,151,501,492,394,1785,3131,14755,240,1140,3439,209
26,2356,194,419,188,521,402,318,2593,2410,10752,403,992,3363,546
27,1869,185,353,121,483,457,319,1647,3076,15650,311,1106,3393,603
28,2023,170,398,204,491,418,326,1570,2914,20808,142,1008,3276,661
29,2022,168,344,163,529,389,325,1938,2996,17752,401,1093,3145,739
30,2256,144,332,173,507,383,290,187,2740,18633,285,1149,3363,1208
31,2283,179,451,213,484,413,304,1118,2574,18240,239,904,3223,1140
32,1863,175,377,207,422,397,274,2073,2855,17386,252,963,3014,1242
33,2408,190,408,244,522,326,282,1559,2698,13789,271,731,2707,1155
34,2059,180,416,208,484,360,328,1075,2629,12313,247,850,3017,847
35,1663,171,317,210,500,372,302,1256,2728,11984,220,917,2636,669
36,1897,162,383,176,540,396,328,1765,2700,10794,212,889,2664,765
37,1780,134,310,181,487,405,317,1432,2658,10429,204,876,2692,293
38,1504,152,360,188,443,213,295,1360,2442,10770,229,833,2396,233
39,1303,158,386,190,442,383,318,1258,2451,10071,208,1013,2456,136
40,1452,149,358,166,453,388,305,1536,2508,9230,214,909,2495,862
41,2125,134,319,152,442,302,251,1499,2292,8937,222,1013,2461,1064
42,2345,128,387,163,446,276,320,1379,2277,10959,198,1013,2427,1018
43,2436,162,343,165,395,402,299,1298,2242,12028,224,1009,2206,1018
